start,duration,confidence,loudness_start,loudness_max_time,loudness_max,loudness_end,pitches,timbre
11.95111,0.28345,1.0,-38.145,0.03053,-2.465,0.0,"[0.446, 0.211, 0.36, 0.423, 0.201, 0.138, 0.136, 0.623, 1.0, 0.062, 0.111, 0.415]","[45.933, 7.537, -136.953, 116.569, -1.436, 46.263, -26.296, -0.574, 15.517, -17.355, -9.03, 13.742]"
12.23456,0.14322,1.0,-34.578,0.0232,-14.21,0.0,"[1.0, 0.745, 0.518, 0.477, 0.832, 0.858, 0.112, 0.135, 0.445, 0.372, 0.282, 0.636]","[38.551, -53.467, -133.678, 43.875, 18.814, -77.801, -23.179, -28.619, 19.964, -2.131, -4.577, 18.807]"
12.37778,0.14372,0.96,-32.742,0.00576,-12.708,0.0,"[0.281, 0.253, 0.118, 0.056, 0.452, 0.664, 0.285, 0.312, 0.9, 1.0, 0.884, 0.071]","[36.898, -151.117, -119.789, 80.043, -23.629, -126.231, -18.993, -42.914, -12.367, 34.75, -20.827, 18.175]"
12.5215,0.26077,1.0,-33.41,0.00569,-4.066,0.0,"[0.848, 0.665, 0.157, 0.31, 0.697, 0.555, 0.301, 0.38, 0.419, 0.793, 0.632, 1.0]","[39.817, 61.193, -163.884, 211.699, -35.432, -88.061, -66.146, 33.207, 25.718, -24.05, -95.909, 25.421]"
12.78227,0.27342,1.0,-47.398,0.02641,-26.6,0.0,"[1.0, 0.709, 0.11, 0.091, 0.118, 0.221, 0.085, 0.045, 0.027, 0.11, 0.097, 0.252]","[21.518, 162.613, -109.002, 147.36, 9.097, 15.903, -33.76, -30.888, 1.016, -9.141, 0.19, -10.31]"
13.05569,0.28512,1.0,-52.591,0.01903,-2.419,0.0,"[0.993, 1.0, 0.373, 0.481, 0.48, 0.487, 0.248, 0.559, 0.335, 0.166, 0.152, 0.986]","[42.162, 98.849, -143.862, 208.413, -20.624, 32.573, -42.303, 84.922, 2.787, -3.017, -19.065, 16.686]"
13.34082,0.20227,0.997,-48.99,0.01762,-31.186,0.0,"[0.912, 1.0, 0.162, 0.178, 0.141, 0.132, 0.108, 0.149, 0.24, 0.191, 0.221, 0.316]","[20.241, 158.4, -68.471, 121.518, 3.835, -65.681, -28.608, -15.734, -7.267, 1.596, -39.515, 2.208]"
13.54308,0.56522,1.0,-51.62,0.08505,-3.711,0.0,"[0.561, 0.246, 0.205, 0.118, 0.852, 1.0, 0.258, 0.475, 0.926, 0.895, 0.773, 0.664]","[26.098, 4.086, -21.078, -50.68, 12.023, 74.953, -7.752, 59.975, -14.367, 43.658, -47.634, 30.229]"
14.1083,0.32304,1.0,-50.077,0.06836,-3.247,0.0,"[0.888, 0.44, 0.315, 0.41, 0.562, 0.711, 0.143, 0.194, 0.207, 0.1, 0.151, 1.0]","[31.939, -15.401, -24.839, -190.734, 42.261, 180.863, 12.243, 40.149, 9.03, 2.235, -128.07, 24.663]"
14.43134,0.20286,0.575,-36.359,0.01009,-25.027,0.0,"[1.0, 0.631, 0.188, 0.169, 0.348, 0.571, 0.226, 0.152, 0.143, 0.249, 0.124, 0.349]","[25.933, 127.819, -106.086, 92.921, 13.691, -69.571, -48.853, -52.103, 3.022, -29.974, -35.511, 18.245]"
14.6342,0.34893,1.0,-46.024,0.07572,-3.615,0.0,"[0.811, 0.179, 0.186, 0.282, 0.428, 0.959, 0.155, 0.288, 0.266, 0.112, 0.126, 1.0]","[26.985, -40.458, -7.22, -195.384, 36.324, 78.538, 16.736, -3.167, 8.581, 23.712, -100.367, 34.582]"
14.98313,0.261,0.556,-37.924,0.00787,-28.355,0.0,"[0.435, 0.328, 0.144, 0.25, 0.308, 1.0, 0.18, 0.209, 0.262, 0.615, 0.252, 0.218]","[24.054, 46.36, -75.152, 73.901, 40.722, -78.415, -16.997, -73.064, 17.301, 16.728, -31.594, 27.841]"
15.24413,0.28476,1.0,-43.678,0.02333,-1.869,0.0,"[0.945, 0.643, 0.2, 0.505, 0.571, 0.481, 0.301, 0.422, 0.268, 0.103, 0.118, 1.0]","[45.36, 68.769, -119.664, 188.651, -16.069, -44.424, -36.074, 29.457, 16.434, -36.946, -59.058, 29.365]"
15.52889,0.10998,0.97,-39.843,0.01708,-24.737,0.0,"[0.813, 0.337, 0.319, 0.545, 0.37, 0.439, 0.448, 0.606, 0.787, 1.0, 0.573, 0.39]","[29.897, 130.511, -15.707, 51.768, 47.448, -50.02, -15.239, -52.262, 9.211, 25.802, -9.736, 14.548]"
15.63887,0.09891,1.0,-34.92,0.03575,-13.762,0.0,"[1.0, 0.84, 0.283, 0.299, 0.493, 0.8, 0.499, 0.366, 0.394, 0.428, 0.52, 0.313]","[39.248, -80.867, -34.217, -14.344, 17.866, 68.22, 1.273, -25.92, 10.729, 25.921, 19.874, 9.7]"
15.73778,0.28327,0.988,-23.337,0.06324,-4.178,0.0,"[0.85, 0.309, 0.147, 0.167, 0.694, 0.81, 0.111, 0.293, 0.334, 0.08, 0.173, 1.0]","[42.85, -27.633, -106.741, 51.856, -6.062, 26.879, -21.118, 20.094, 25.255, -32.462, -72.87, 22.352]"
16.02104,0.29628,1.0,-35.618,0.05002,-12.107,0.0,"[0.572, 0.089, 0.137, 0.064, 0.742, 1.0, 0.071, 0.051, 0.238, 0.096, 0.057, 0.594]","[34.931, -125.0, -62.144, 14.575, 29.857, 58.083, 30.035, -46.54, 1.664, 7.757, -66.894, 19.025]"
16.31732,0.29088,1.0,-32.318,0.03038,-2.745,0.0,"[0.56, 0.224, 0.34, 0.789, 0.355, 0.163, 0.092, 1.0, 0.987, 0.077, 0.143, 0.617]","[45.092, -22.375, -112.912, 87.9, 4.19, 99.874, 17.054, -13.38, 20.903, -49.299, 51.579, 0.155]"
16.60821,0.1405,0.961,-28.947,0.01432,-12.549,0.0,"[1.0, 0.432, 0.405, 0.359, 0.652, 0.731, 0.145, 0.14, 0.483, 0.367, 0.256, 0.675]","[39.887, -93.661, -112.22, 50.943, 26.288, -80.135, 13.891, -36.557, 4.947, 0.086, -16.893, 33.511]"
16.74871,0.10458,0.874,-29.771,0.01198,-13.57,0.0,"[0.332, 0.462, 0.219, 0.215, 0.612, 0.689, 0.566, 0.56, 0.642, 1.0, 0.842, 0.204]","[39.652, -150.98, -72.977, 52.622, -12.373, -66.545, 8.777, -66.262, -9.93, 21.009, -9.087, 21.463]"
16.85329,0.29465,1.0,-26.5,0.03988,-5.889,0.0,"[0.613, 0.319, 0.077, 0.3, 0.347, 0.326, 0.105, 0.195, 0.22, 0.326, 0.446, 1.0]","[41.133, -58.692, -55.972, 48.387, 6.992, 85.222, 41.941, 20.048, 51.451, -120.123, -29.494, 7.509]"
17.14794,0.24943,0.834,-31.647,0.02237,-19.871,0.0,"[0.54, 0.147, 0.087, 0.258, 0.203, 0.738, 0.128, 0.073, 0.368, 1.0, 0.507, 0.26]","[34.459, -17.576, 21.81, 64.904, 74.06, -14.872, 58.207, -90.043, 7.527, -18.684, 23.716, 19.027]"
17.39737,0.30771,1.0,-31.902,0.04356,-2.458,0.0,"[0.723, 0.599, 0.446, 0.483, 0.374, 0.519, 0.098, 0.369, 0.306, 0.182, 0.231, 1.0]","[42.231, -16.671, -9.587, 21.95, 39.208, 144.813, 53.739, 49.435, 37.407, -82.04, -16.493, 8.66]"
17.70508,0.20884,0.612,-28.788,0.01982,-21.738,0.0,"[0.702, 0.163, 0.117, 0.332, 0.333, 0.873, 0.215, 0.329, 0.631, 1.0, 0.62, 0.401]","[34.538, -61.709, 50.522, 63.392, 66.446, -60.378, 52.357, -58.95, -7.815, 10.181, -4.765, 21.161]"
17.91392,0.32689,1.0,-28.621,0.08283,-5.309,0.0,"[1.0, 0.341, 0.208, 0.184, 0.442, 0.302, 0.115, 0.218, 0.416, 0.176, 0.144, 0.965]","[37.318, -112.472, 64.59, -75.371, 20.001, 10.092, 54.378, 33.614, 5.56, -20.026, -38.826, 25.175]"
18.24082,0.23039,0.597,-25.689,0.03017,-17.184,0.0,"[0.822, 0.307, 0.131, 0.549, 0.375, 1.0, 0.229, 0.525, 0.436, 0.767, 0.239, 0.306]","[38.213, -62.543, 34.61, 45.688, 41.896, -19.657, 69.04, -30.575, 11.708, -50.896, 11.063, 1.747]"
18.4712,0.32512,1.0,-27.331,0.06998,-4.059,0.0,"[1.0, 0.529, 0.424, 0.587, 0.919, 0.693, 0.193, 0.349, 0.306, 0.192, 0.245, 0.839]","[40.406, -57.763, 32.249, -48.673, 14.405, 53.598, 37.035, 39.671, 5.139, -52.604, -74.98, 31.747]"
18.79633,0.22712,0.57,-27.565,0.02612,-19.933,0.0,"[0.621, 0.312, 0.116, 0.434, 0.204, 1.0, 0.189, 0.246, 0.274, 0.208, 0.142, 0.271]","[36.228, -18.956, 7.794, 55.94, 58.454, -42.518, 40.899, -81.108, -16.651, 3.664, -19.95, 6.003]"
19.02345,0.32431,1.0,-28.61,0.05219,-3.341,0.0,"[1.0, 0.28, 0.179, 0.21, 0.414, 0.629, 0.112, 0.234, 0.366, 0.17, 0.079, 0.843]","[40.551, -66.469, -3.119, -9.86, 24.523, 101.689, 34.709, 12.167, 28.931, -68.411, -68.318, 12.875]"
19.34776,0.13415,0.701,-26.528,0.08501,-17.567,0.0,"[0.468, 0.272, 0.275, 0.781, 0.334, 1.0, 0.286, 0.284, 0.356, 0.191, 0.291, 0.259]","[40.221, 26.914, 38.496, -40.375, 42.148, -26.006, 8.845, -1.932, 34.173, 20.069, -0.245, 2.632]"
19.4819,0.07533,0.118,-19.631,0.0421,-17.386,0.0,"[0.605, 0.656, 0.462, 0.672, 0.752, 1.0, 0.364, 0.384, 0.103, 0.13, 0.331, 0.167]","[41.871, 59.259, 8.678, -38.392, 54.569, -41.901, -12.602, -10.125, 35.024, -8.851, -1.825, 0.41]"
19.55723,0.34254,1.0,-18.404,0.07588,-2.959,0.0,"[0.877, 0.504, 0.376, 0.613, 0.491, 0.548, 0.352, 0.426, 0.308, 0.251, 0.364, 1.0]","[45.089, 22.689, -0.179, -27.474, 41.78, 2.669, -0.789, -0.108, 17.446, 6.034, -49.235, 13.651]"
19.89977,0.12063,0.475,-19.777,0.02072,-13.948,0.0,"[0.475, 0.22, 0.094, 0.381, 0.384, 1.0, 0.237, 0.143, 0.489, 0.56, 0.67, 0.589]","[44.009, -50.123, 62.343, 18.668, 45.541, -51.149, 59.21, -36.263, -2.887, 36.664, -2.01, 1.49]"
20.02041,0.11719,0.532,-17.408,0.02031,-10.946,0.0,"[1.0, 0.835, 0.405, 0.504, 0.703, 0.784, 0.405, 0.374, 0.399, 0.444, 0.413, 0.412]","[45.802, -85.052, 32.06, 11.102, -5.493, -53.198, 28.979, 7.482, 4.32, 14.576, 12.697, 0.909]"
20.1376,0.26063,0.849,-16.695,0.02845,-4.212,0.0,"[0.711, 0.177, 0.081, 0.136, 0.405, 1.0, 0.089, 0.185, 0.302, 0.122, 0.085, 0.629]","[48.509, -4.135, -38.756, 51.066, -10.673, -17.585, 20.123, -35.46, 19.926, -16.425, 17.78, -5.162]"
20.39823,0.27973,1.0,-17.352,0.05889,-3.038,0.0,"[0.815, 0.151, 0.262, 0.329, 0.83, 0.878, 0.224, 0.137, 0.727, 0.344, 0.181, 1.0]","[51.043, 48.29, -5.777, 35.066, 14.504, 12.119, 0.37, -16.621, -14.76, 12.661, -24.163, -18.672]"
20.67796,0.28952,0.979,-14.004,0.02776,-1.564,0.0,"[0.592, 0.217, 0.36, 0.603, 0.232, 0.63, 0.176, 0.549, 1.0, 0.188, 0.239, 0.477]","[53.793, 15.033, 7.778, 73.156, 2.2, -16.785, 3.266, -27.169, -0.837, 20.624, -40.675, -7.613]"
20.96748,0.09887,0.63,-15.694,0.03563,-9.394,0.0,"[1.0, 0.62, 0.35, 0.32, 0.612, 0.675, 0.203, 0.103, 0.346, 0.3, 0.33, 0.714]","[48.766, -51.86, 38.876, 4.678, -14.853, -23.742, 36.076, -3.326, -36.679, -8.476, 7.564, 21.664]"
21.06635,0.18476,0.425,-12.465,0.08535,-7.403,0.0,"[0.347, 0.199, 0.141, 0.33, 0.271, 0.2, 0.152, 0.178, 0.703, 1.0, 0.968, 0.124]","[50.34, -56.586, 49.645, -11.614, -10.344, -17.615, 13.535, -2.436, -17.62, 2.79, -19.025, 4.454]"
21.25111,0.12912,0.513,-12.922,0.01115,-4.362,0.0,"[0.528, 0.166, 0.088, 0.091, 0.276, 0.295, 0.602, 0.621, 0.989, 1.0, 0.884, 0.083]","[50.863, 5.122, -11.16, 39.235, -21.786, -68.144, 38.159, -17.826, -15.326, 14.077, -18.403, 26.872]"
