start,duration,confidence,loudness_start,loudness_max_time,loudness_max,loudness_end,pitches,timbre
11.70943,0.29483,1.0,-46.22,0.04269,-19.995,0.0,"[0.541, 0.039, 0.101, 0.059, 0.962, 1.0, 0.053, 0.028, 0.227, 0.087, 0.026, 0.562]","[27.726, -131.339, -137.811, 13.306, 26.436, 65.582, -5.626, 4.517, 7.644, 8.457, -33.805, 14.506]"
12.00426,0.28177,1.0,-43.477,0.02385,-9.442,0.0,"[0.422, 0.186, 0.41, 0.469, 0.238, 0.157, 0.143, 0.648, 1.0, 0.061, 0.122, 0.421]","[39.734, 23.709, -143.044, 115.737, 0.512, 22.289, -31.681, -0.189, 9.033, -18.949, -14.945, 16.914]"
12.28603,0.13247,1.0,-40.816,0.0224,-21.301,0.0,"[1.0, 0.841, 0.519, 0.495, 0.783, 0.764, 0.114, 0.141, 0.413, 0.32, 0.284, 0.634]","[31.782, -39.365, -146.783, 39.398, 39.782, -42.553, -24.549, -12.281, 23.341, -11.294, -12.774, 21.249]"
12.4185,0.14485,0.932,-38.403,0.0161,-20.62,0.0,"[0.169, 0.364, 0.165, 0.097, 0.511, 0.695, 0.357, 0.386, 0.884, 1.0, 0.787, 0.069]","[30.704, -116.05, -133.844, 87.166, -5.737, -48.144, -8.53, -35.149, -8.61, 23.009, -21.617, 19.342]"
12.56336,0.26422,1.0,-39.104,0.0135,-10.878,0.0,"[0.784, 0.618, 0.108, 0.446, 0.837, 0.578, 0.236, 0.385, 0.342, 0.804, 0.552, 1.0]","[33.732, 63.912, -174.419, 209.117, -18.236, -18.841, -49.89, 37.727, 28.11, -12.746, -40.093, 11.941]"
12.82757,0.27424,1.0,-53.299,0.03211,-34.011,0.0,"[1.0, 0.749, 0.171, 0.138, 0.18, 0.334, 0.162, 0.071, 0.038, 0.17, 0.151, 0.371]","[15.003, 170.274, -109.924, 113.62, 17.949, 35.054, -21.515, -19.104, 2.207, -18.879, -2.878, -10.167]"
13.10181,0.28998,1.0,-57.656,0.02333,-8.499,0.0,"[0.963, 1.0, 0.422, 0.533, 0.558, 0.541, 0.222, 0.587, 0.346, 0.177, 0.192, 0.961]","[34.94, 103.009, -148.906, 193.254, 1.984, 98.441, -30.733, 89.305, -0.374, 24.457, 36.621, 5.787]"
13.39179,0.20875,0.918,-54.47,0.02078,-38.691,0.0,"[0.815, 1.0, 0.205, 0.268, 0.203, 0.171, 0.148, 0.25, 0.357, 0.271, 0.271, 0.358]","[13.567, 167.049, -67.337, 109.548, 16.06, -61.953, -25.048, -15.167, -16.054, 5.297, -44.755, -7.079]"
13.60054,0.52839,1.0,-57.946,0.08082,-10.802,0.0,"[0.558, 0.253, 0.212, 0.13, 0.912, 1.0, 0.263, 0.434, 0.868, 0.851, 0.73, 0.664]","[20.967, -5.956, -27.603, -73.607, 18.715, 40.225, -12.79, 53.496, -17.785, 31.695, -70.447, 30.421]"
14.12893,0.34825,1.0,-56.712,0.09631,-9.574,0.0,"[0.786, 0.479, 0.492, 0.605, 0.73, 0.678, 0.2, 0.22, 0.237, 0.111, 0.197, 1.0]","[19.689, 33.202, 2.379, -275.809, 45.494, 99.682, 19.725, -26.346, -21.507, 62.366, -88.888, 26.619]"
